JLA_name,OSC_name,Aliases,Host,OSC_RA,OSC_DEC,Host_RA,Host_DEC,global_u,global_g,global_r,global_i,global_z,global_u_err,global_g_err,global_r_err,global_i_err,global_z_err,SDSS_RA,SDSS_DEC,Flag,ZPEG_StMass,ZPEG_(Msol/an),ZPEG_Chi2/(nobs_tot-3),ZPEG_redshift,ZPEG_Age(Myr),Unnamed: 0,zcmb,zhel,dz,mb,dmb,x1,dx1,color,dcolor,3rdvar,d3rdvar,tmax,dtmax,cov_m_s,cov_m_c,cov_s_c,set,ra,dec,biascor
04D3co,SNLS-04D3co,SNLS-04D3co,[AGR2006] J141750.03+525748.9,"14:17:49.979,14:17:50.030","+52:57:49.00,+52:57:49.000,+52:57:48.95",17:50.0,+52:57:48.9,22.95723,22.47584,21.22183,20.50401,20.44537,0.5738625,0.1532669,0.09009819,0.0686433,0.2402187,214.4579267,52.96257001,OSC Host,2.77E+10,0.0,1.57,0.3,8000.0,189.0,0.620632,0.62,0.0,23.784306,0.093091,-0.677025,0.195335,-0.027937,0.04632,9.517,0.243,53101.471665,0.260652,0.003159,0.000465,0.001031,1.0,214.458245,52.963611,-0.000308
04D3cy,SNLS-04D3cy,SNLS-04D3cy,[AGR2006] J141812.45+523930.4,"14:18:12.434,14:18:12.452","+52:39:29.99,+52:39:29.990,+52:39:30.40",18:12.4,+52:39:30.4,25.67857,22.94491,22.18304,21.69087,20.48471,0.7147808,0.2301514,0.1724524,0.1576813,0.1981144,214.5515482,52.65836997,OSC Host,1.07E+09,0.0,4.29,0.1,11000.0,187.0,0.643646,0.643,0.0,23.786478,0.094148,-0.204658,0.205403,-0.027514,0.06525,9.98,0.212,53101.09541,0.263867,0.003557,0.000809,0.001339,1.0,214.55181,52.658332,-0.001207
04D3do,SNLS-04D3do,SNLS-04D3do,[AGR2006] J141746.11+521603.3,"14:17:46.082,14:17:46.113","+52:16:03.19,+52:16:03.190,+52:16:03.36",17:46.1,+52:16:03.3,25.55299,25.56979,23.02018,21.96129,21.57012,0.9267319,0.6417589,0.3135239,0.2063144,0.4633923,214.4418526,52.26756766,OSC Host,1.36E+11,0.0,0.794,0.8,6000.0,190.0,0.610643,0.61,0.0,23.559958,0.090588,-0.830682,0.148887,-0.118742,0.032813,10.485,0.071,53112.989696,0.26341,0.000712,0.000221,-0.000728,1.0,214.442008,52.267553,2.9e-05
04D3ez,SNLS-04D3ez,SNLS-04D3ez,[AGR2006] J141907.89+530419.1,"14:19:07.834,14:19:07.916,14:19:07.894","+53:04:19.01,+53:04:19.010,+53:04:18.88,+53:04:19.17",19:07.9,+53:04:19.1,22.51968,21.4022,20.13352,19.65368,19.29115,0.2894081,0.05030034,0.02604793,0.02303297,0.05494946,214.7827769,53.07191634,OSC Host,3.08E+10,0.0,2.34,0.2,10000.0,181.0,0.263487,0.263,0.0,21.66648,0.08555,-1.082884,0.08402,0.027124,0.023334,10.29,0.012,53115.465586,0.13028,0.000142,0.000511,3e-05,1.0,214.782644,53.071948,-0.001281
04D3fk,SNLS-04D3fk,SNLS-04D3fk,[AGR2006] J141826.19+523142.7,"14:18:26.184,14:18:26.212,14:18:26.198","+52:31:42.48,+52:31:42.480,+52:31:42.74",18:26.2,+52:31:42.7,22.62657,22.16877,21.11066,20.9071,20.59785,0.3786534,0.1090338,0.06950092,0.08913071,0.2575684,214.6095707,52.5291341,OSC Host,1.98E+10,4.9812773,1.25,0.4,6000.0,186.0,0.358336,0.3578,0.0,22.515607,0.086303,-0.386641,0.080806,0.079161,0.023414,10.189,0.0765,53126.931633,0.083469,0.00031,0.000478,-3.5e-05,1.0,214.609102,52.528468,-4.8e-05
04D3gt,SNLS-04D3gt,SNLS-04D3gt,[AGR2006] J142232.61+523849.3,"14:22:32.591,14:22:32.594,14:22:32.611","+52:38:48.92,+52:38:48.920,+52:38:49.52,+52:38:49.30",22:32.6,+52:38:49.3,25.58187,21.93241,19.9967,19.11729,18.46382,1.427519,0.137771,0.04313744,0.03117515,0.06103214,215.6357298,52.64698268,OSC Host,4.88E+11,0.0,7.27,0.5,8000.0,169.0,0.451556,0.451,0.0,23.241924,0.087828,-0.213624,0.112274,0.191395,0.0291,11.34,0.0945,53137.866656,0.147746,0.0005,0.000531,-0.000192,1.0,215.635796,52.646921,0.001421
04D3hn,SNLS-04D3hn,SNLS-04D3hn,[HSP2005] J142206.87+521343.46,"14:22:06.895,14:22:06.878,14:22:06.908","+52:13:42.91,+52:13:42.910,+52:13:43.46,+52:13:43.00",22:06.9,+52:13:43.46,23.92897,23.15896,21.44267,20.54172,20.49706,0.7802277,0.2140162,0.07867736,0.05632158,0.1839973,215.5285431,52.22869735,OSC Host,8.33E+10,0.0,2.89,0.5,6000.0,172.0,0.552605,0.552,0.0,23.48813,0.089654,-0.573944,0.124075,0.073514,0.037143,10.79,0.022,53137.153215,0.179585,0.000987,0.000538,0.0004,1.0,215.528731,52.228587,0.001353
04D3kr,SNLS-04D3kr,SNLS-04D3kr,[HSP2005] J141635.93+522844.20,"14:16:35.934,14:16:35.937,14:16:35.943","+52:28:43.95,+52:28:43.950,+52:28:44.20,+52:28:44.02",16:35.9,+52:28:44.20,24.45552,23.06003,22.09708,22.47846,22.19309,1.168185,0.1973212,0.1347907,0.2574738,0.5642633,214.1496576,52.47889252,OSC Host,2.03E+09,0.81571029,2.35,0.4,6000.0,191.0,0.337534,0.337,0.0,21.966214,0.086047,1.231534,0.086007,-0.018647,0.022822,9.287,0.0665,53166.004215,0.119512,0.000117,0.000478,-0.000147,1.0,214.149726,52.478874,-0.000416
04D3lu,SNLS-04D3lu,SNLS-04D3lu,[HSP2005] J142108.00+525829.74,"14:21:07.970,14:21:08.009","+52:58:29.25,+52:58:29.250,+52:58:29.74",21:08.0,+52:58:29.74,26.88862,23.49294,21.61153,20.52607,20.02948,0.5800352,0.7363684,0.2101201,0.114549,0.2557794,215.2832124,52.97468367,OSC Host,7.18E+11,0.0,3.25,0.9,5000.0,176.0,0.822697,0.822,0.0,24.373493,0.100111,-0.556579,0.229796,-0.124503,0.058657,11.111,0.0765,53169.144934,0.400118,0.001991,-0.000763,0.001743,1.0,215.283209,52.974792,-0.013766
04D3nh,SNLS-04D3nh,SNLS-04D3nh,[HSP2005] J142226.72+522000.92,"14:22:26.708,14:22:26.729","+52:20:00.41,+52:20:00.410,+52:20:00.92",22:26.7,+52:20:00.92,25.02831,24.37071,24.82029,24.12356,20.92728,0.7684428,0.4380642,0.6759371,0.7117219,0.2221671,215.612626,52.3348061,OSC Host,6.76E+10,0.0,7.09,1.0,5000.0,171.0,0.34052,0.34,0.0,22.137345,0.0859,0.612333,0.087605,-0.003747,0.021528,9.356,0.0205,53174.383789,0.100258,0.000252,0.000449,0.000103,1.0,215.611283,52.333448,-0.000364
